자치구,계약일자,단위면적(㎡)당 매매가(만원)
종로구,2021-07,1303
종로구,2021-08,1323
종로구,2021-09,1272
종로구,2021-10,1378
종로구,2021-11,1183
종로구,2021-12,1390
중구,2017-01,709
중구,2017-02,741
중구,2017-03,756
중구,2017-04,723
중구,2017-05,742
중구,2017-06,755
중구,2017-07,722
중구,2017-08,734
중구,2017-09,816
중구,2017-10,802
중구,2017-11,818
중구,2017-12,817
중구,2018-01,831
중구,2018-02,870
중구,2018-03,846
중구,2018-04,867
중구,2018-05,833
중구,2018-06,859
중구,2018-07,910
중구,2018-08,911
중구,2018-09,948
중구,2018-10,903
중구,2018-11,905
중구,2018-12,906
중구,2019-01,868
중구,2019-02,891
중구,2019-03,876
중구,2019-04,956
중구,2019-05,945
중구,2019-06,965
중구,2019-07,1011
중구,2019-08,1032
중구,2019-09,1045
중구,2019-10,1042
중구,2019-11,1057
중구,2019-12,1108
중구,2020-01,992
중구,2020-02,1087
중구,2020-03,1011
중구,2020-04,1061
중구,2020-05,1077
중구,2020-06,1113
중구,2020-07,1120
중구,2020-08,1197
중구,2020-09,1172
중구,2020-10,1225
중구,2020-11,1269
중구,2020-12,1307
중구,2021-01,1252
중구,2021-02,1287
중구,2021-03,1187
중구,2021-04,1222
중구,2021-05,1291
중구,2021-06,1244
중구,2021-07,1437
중구,2021-08,1293
중구,2021-09,1341
중구,2021-10,1377
중구,2021-11,1228
중구,2021-12,1364
중랑구,2017-01,485
중랑구,2017-02,482
중랑구,2017-03,493
중랑구,2017-04,491
중랑구,2017-05,481
중랑구,2017-06,495
중랑구,2017-07,502
중랑구,2017-08,499
중랑구,2017-09,506
중랑구,2017-10,495
중랑구,2017-11,520
중랑구,2017-12,530
중랑구,2018-01,511
중랑구,2018-02,526
중랑구,2018-03,518
중랑구,2018-04,519
중랑구,2018-05,529
중랑구,2018-06,528
중랑구,2018-07,534
중랑구,2018-08,552
중랑구,2018-09,587
중랑구,2018-10,599
중랑구,2018-11,576
중랑구,2018-12,605
중랑구,2019-01,573
중랑구,2019-02,614
중랑구,2019-03,592
중랑구,2019-04,627
중랑구,2019-05,633
중랑구,2019-06,607
중랑구,2019-07,633
중랑구,2019-08,642
중랑구,2019-09,648
중랑구,2019-10,650
중랑구,2019-11,667
중랑구,2019-12,769
중랑구,2020-01,658
중랑구,2020-02,691
중랑구,2020-03,704
중랑구,2020-04,705
중랑구,2020-05,751
중랑구,2020-06,743
중랑구,2020-07,782
중랑구,2020-08,837
중랑구,2020-09,807
중랑구,2020-10,837
중랑구,2020-11,857
중랑구,2020-12,865
중랑구,2021-01,902
중랑구,2021-02,897
중랑구,2021-03,943
중랑구,2021-04,934
중랑구,2021-05,957
중랑구,2021-06,961
중랑구,2021-07,1009
중랑구,2021-08,1038
중랑구,2021-09,1023
중랑구,2021-10,1033
중랑구,2021-11,1064
중랑구,2021-12,979
