자치구,계약일자,단위면적(㎡)당 전세가(만원)
은평구,2021-08,587
은평구,2021-09,530
은평구,2021-10,572
은평구,2021-11,594
은평구,2021-12,626
종로구,2017-01,656
종로구,2017-02,597
종로구,2017-03,654
종로구,2017-04,670
종로구,2017-05,656
종로구,2017-06,646
종로구,2017-07,670
종로구,2017-08,629
종로구,2017-09,611
종로구,2017-10,586
종로구,2017-11,597
종로구,2017-12,629
종로구,2018-01,593
종로구,2018-02,556
종로구,2018-03,505
종로구,2018-04,497
종로구,2018-05,582
종로구,2018-06,574
종로구,2018-07,561
종로구,2018-08,569
종로구,2018-09,556
종로구,2018-10,547
종로구,2018-11,604
종로구,2018-12,632
종로구,2019-01,704
종로구,2019-02,729
종로구,2019-03,721
종로구,2019-04,753
종로구,2019-05,621
종로구,2019-06,692
종로구,2019-07,705
종로구,2019-08,678
종로구,2019-09,642
종로구,2019-10,673
종로구,2019-11,701
종로구,2019-12,696
종로구,2020-01,691
종로구,2020-02,633
종로구,2020-03,640
종로구,2020-04,618
종로구,2020-05,636
종로구,2020-06,630
종로구,2020-07,727
종로구,2020-08,687
종로구,2020-09,671
종로구,2020-10,705
종로구,2020-11,761
종로구,2020-12,765
종로구,2021-01,841
종로구,2021-02,812
종로구,2021-03,803
종로구,2021-04,746
종로구,2021-05,848
종로구,2021-06,845
종로구,2021-07,848
종로구,2021-08,834
종로구,2021-09,794
종로구,2021-10,877
종로구,2021-11,774
종로구,2021-12,799
중구,2017-01,563
중구,2017-02,566
중구,2017-03,543
중구,2017-04,579
중구,2017-05,554
중구,2017-06,618
중구,2017-07,630
중구,2017-08,637
중구,2017-09,634
중구,2017-10,602
중구,2017-11,632
중구,2017-12,610
중구,2018-01,657
중구,2018-02,616
중구,2018-03,590
중구,2018-04,642
중구,2018-05,660
중구,2018-06,638
중구,2018-07,638
중구,2018-08,651
중구,2018-09,614
중구,2018-10,640
중구,2018-11,661
중구,2018-12,650
중구,2019-01,665
중구,2019-02,676
중구,2019-03,647
중구,2019-04,656
중구,2019-05,647
중구,2019-06,689
중구,2019-07,686
중구,2019-08,711
중구,2019-09,664
중구,2019-10,647
중구,2019-11,668
중구,2019-12,736
중구,2020-01,725
중구,2020-02,669
중구,2020-03,692
중구,2020-04,718
중구,2020-05,695
중구,2020-06,755
중구,2020-07,733
중구,2020-08,743
중구,2020-09,835
중구,2020-10,743
중구,2020-11,827
중구,2020-12,802
중구,2021-01,829
중구,2021-02,846
중구,2021-03,843
중구,2021-04,920
중구,2021-05,884
중구,2021-06,897
중구,2021-07,941
중구,2021-08,861
중구,2021-09,819
중구,2021-10,834
중구,2021-11,825
중구,2021-12,847
중랑구,2017-01,391
중랑구,2017-02,386
중랑구,2017-03,405
중랑구,2017-04,399
중랑구,2017-05,416
중랑구,2017-06,425
중랑구,2017-07,410
중랑구,2017-08,407
중랑구,2017-09,410
중랑구,2017-10,405
중랑구,2017-11,405
중랑구,2017-12,387
중랑구,2018-01,398
중랑구,2018-02,321
중랑구,2018-03,312
중랑구,2018-04,373
중랑구,2018-05,397
중랑구,2018-06,388
중랑구,2018-07,398
중랑구,2018-08,330
중랑구,2018-09,412
중랑구,2018-10,416
중랑구,2018-11,426
중랑구,2018-12,442
중랑구,2019-01,445
중랑구,2019-02,434
중랑구,2019-03,432
중랑구,2019-04,443
중랑구,2019-05,484
중랑구,2019-06,558
중랑구,2019-07,484
중랑구,2019-08,466
중랑구,2019-09,457
중랑구,2019-10,455
중랑구,2019-11,476
중랑구,2019-12,468
중랑구,2020-01,503
중랑구,2020-02,391
중랑구,2020-03,375
중랑구,2020-04,435
중랑구,2020-05,528
중랑구,2020-06,510
중랑구,2020-07,511
중랑구,2020-08,412
중랑구,2020-09,610
중랑구,2020-10,597
중랑구,2020-11,524
중랑구,2020-12,560
중랑구,2021-01,553
중랑구,2021-02,520
중랑구,2021-03,566
중랑구,2021-04,566
중랑구,2021-05,603
중랑구,2021-06,605
중랑구,2021-07,603
중랑구,2021-08,602
중랑구,2021-09,584
중랑구,2021-10,569
중랑구,2021-11,551
중랑구,2021-12,538
