자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
강서구,2018-12,685,488,294
강서구,2019-01,742,510,374
강서구,2019-02,748,486,312
강서구,2019-03,740,497,347
강서구,2019-04,745,507,350
강서구,2019-05,790,519,333
강서구,2019-06,814,520,305
강서구,2019-07,879,515,303
강서구,2019-08,831,544,323
강서구,2019-09,820,533,302
강서구,2019-10,883,502,313
강서구,2019-11,904,504,328
강서구,2019-12,894,519,251
강서구,2020-01,857,543,365
강서구,2020-02,901,546,271
강서구,2020-03,862,563,325
강서구,2020-04,793,543,314
강서구,2020-05,907,554,297
강서구,2020-06,953,556,248
강서구,2020-07,979,473,307
강서구,2020-08,1018,456,284
강서구,2020-09,1033,544,265
강서구,2020-10,1027,531,245
강서구,2020-11,1036,537,227
강서구,2020-12,1091,620,197
강서구,2021-01,1165,615,237
강서구,2021-02,1064,578,249
강서구,2021-03,1052,642,311
강서구,2021-04,1130,613,275
강서구,2021-05,1173,637,273
강서구,2021-06,1238,625,282
강서구,2021-07,1245,654,269
강서구,2021-08,1253,621,248
강서구,2021-09,1235,651,218
강서구,2021-10,1228,611,205
강서구,2021-11,1054,584,241
강서구,2021-12,1114,634,203
관악구,2017-01,630,450,280
관악구,2017-02,558,439,274
관악구,2017-03,532,432,282
관악구,2017-04,533,439,247
관악구,2017-05,552,448,247
관악구,2017-06,548,463,272
관악구,2017-07,582,464,244
관악구,2017-08,583,466,235
관악구,2017-09,600,457,248
관악구,2017-10,591,508,195
관악구,2017-11,589,467,200
관악구,2017-12,612,450,207
관악구,2018-01,622,494,261
관악구,2018-02,616,475,218
관악구,2018-03,632,479,215
관악구,2018-04,616,462,221
관악구,2018-05,627,470,209
관악구,2018-06,651,479,223
관악구,2018-07,636,497,251
관악구,2018-08,642,492,225
관악구,2018-09,685,501,207
관악구,2018-10,718,488,194
관악구,2018-11,716,495,187
관악구,2018-12,715,488,171
관악구,2019-01,672,504,209
관악구,2019-02,705,483,204
관악구,2019-03,691,464,193
관악구,2019-04,693,470,185
관악구,2019-05,683,477,214
관악구,2019-06,757,482,174
관악구,2019-07,772,487,206
관악구,2019-08,771,503,165
관악구,2019-09,749,474,190
관악구,2019-10,788,511,169
관악구,2019-11,783,499,179
관악구,2019-12,787,510,157
관악구,2020-01,799,511,172
관악구,2020-02,804,535,195
관악구,2020-03,796,537,174
관악구,2020-04,768,521,166
관악구,2020-05,803,519,151
관악구,2020-06,875,543,143
관악구,2020-07,860,549,156
관악구,2020-08,938,557,177
관악구,2020-09,931,564,156
관악구,2020-10,923,578,155
관악구,2020-11,1000,597,132
관악구,2020-12,1020,603,128
관악구,2021-01,1026,607,133
관악구,2021-02,1057,596,131
관악구,2021-03,1052,626,167
관악구,2021-04,996,607,120
관악구,2021-05,1111,640,174
관악구,2021-06,1097,670,160
관악구,2021-07,1136,666,134
관악구,2021-08,1142,633,123
관악구,2021-09,1160,557,152
관악구,2021-10,1096,666,138
관악구,2021-11,1106,613,135
관악구,2021-12,1099,648,128
광진구,2017-01,695,584,249
광진구,2017-02,703,565,220
광진구,2017-03,730,562,221
광진구,2017-04,777,559,200
광진구,2017-05,753,584,191
광진구,2017-06,763,579,183
광진구,2017-07,807,575,194
광진구,2017-08,795,581,191
광진구,2017-09,791,608,184
광진구,2017-10,845,603,175
광진구,2017-11,870,642,162
광진구,2017-12,874,628,177
광진구,2018-01,874,626,206
광진구,2018-02,891,594,195
광진구,2018-03,885,612,198
광진구,2018-04,872,622,176
광진구,2018-05,838,616,186
광진구,2018-06,869,599,182
광진구,2018-07,953,618,212
광진구,2018-08,1037,662,175
광진구,2018-09,1065,646,187
광진구,2018-10,1006,659,163
광진구,2018-11,1018,652,171
광진구,2018-12,905,616,146
광진구,2019-01,846,607,196
광진구,2019-02,951,605,209
광진구,2019-03,926,600,158
광진구,2019-04,997,621,161
광진구,2019-05,1029,628,156
광진구,2019-06,1066,613,148
광진구,2019-07,1102,621,161
광진구,2019-08,1119,640,165
광진구,2019-09,1103,652,169
광진구,2019-10,1163,658,160
광진구,2019-11,1189,676,155
광진구,2019-12,1167,668,119
광진구,2020-01,1135,662,139
광진구,2020-02,1149,683,119
광진구,2020-03,1104,648,148
광진구,2020-04,1077,645,134
광진구,2020-05,1095,670,121
광진구,2020-06,1294,699,122
광진구,2020-07,1305,726,135
광진구,2020-08,1421,783,140
광진구,2020-09,1360,730,128
광진구,2020-10,1309,751,115
광진구,2020-11,1408,764,121
광진구,2020-12,1487,779,110
광진구,2021-01,1567,756,122
광진구,2021-02,1464,756,109
광진구,2021-03,1407,765,151
광진구,2021-04,1411,787,145
광진구,2021-05,1486,770,126
광진구,2021-06,1521,803,144
광진구,2021-07,1535,818,135
광진구,2021-08,1622,812,131
광진구,2021-09,1526,867,116
광진구,2021-10,1548,874,121
광진구,2021-11,1521,840,111
광진구,2021-12,1596,848,99
구로구,2017-01,518,425,322
구로구,2017-02,519,415,266
구로구,2017-03,525,410,287
구로구,2017-04,518,410,281
구로구,2017-05,544,424,270
구로구,2017-06,542,412,248
구로구,2017-07,555,440,226
구로구,2017-08,538,387,251
구로구,2017-09,547,379,262
구로구,2017-10,563,385,256
구로구,2017-11,560,434,254
