강서구,2021-02,249
강서구,2021-03,311
강서구,2021-04,275
강서구,2021-05,273
강서구,2021-06,282
강서구,2021-07,269
강서구,2021-08,248
강서구,2021-09,218
강서구,2021-10,205
강서구,2021-11,241
강서구,2021-12,203
강서구,2021-계,3011
관악구,2017-01,280
관악구,2017-02,274
관악구,2017-03,282
관악구,2017-04,247
관악구,2017-05,247
관악구,2017-06,272
관악구,2017-07,244
관악구,2017-08,235
관악구,2017-09,248
관악구,2017-10,195
관악구,2017-11,200
관악구,2017-12,207
관악구,2017-계,"2,931"
관악구,2018-01,261
관악구,2018-02,218
관악구,2018-03,215
관악구,2018-04,221
관악구,2018-05,209
관악구,2018-06,223
관악구,2018-07,251
관악구,2018-08,225
관악구,2018-09,207
관악구,2018-10,194
관악구,2018-11,187
관악구,2018-12,171
관악구,2018-계,"2,582"
관악구,2019-01,209
관악구,2019-02,204
관악구,2019-03,193
관악구,2019-04,185
관악구,2019-05,214
관악구,2019-06,174
관악구,2019-07,206
관악구,2019-08,165
관악구,2019-09,190
관악구,2019-10,169
관악구,2019-11,179
관악구,2019-12,157
관악구,2019-계,"2,245"
관악구,2020-01,172
관악구,2020-02,195
관악구,2020-03,174
관악구,2020-04,166
관악구,2020-05,151
관악구,2020-06,143
관악구,2020-07,156
관악구,2020-08,177
관악구,2020-09,156
관악구,2020-10,155
관악구,2020-11,132
관악구,2020-12,128
관악구,2020-계,"1,905"
관악구,2021-01,133
관악구,2021-02,131
관악구,2021-03,167
관악구,2021-04,120
관악구,2021-05,174
관악구,2021-06,160
관악구,2021-07,134
관악구,2021-08,123
관악구,2021-09,152
관악구,2021-10,138
관악구,2021-11,135
관악구,2021-12,128
관악구,2021-계,1695
광진구,2017-01,249
광진구,2017-02,220
광진구,2017-03,221
광진구,2017-04,200
광진구,2017-05,191
광진구,2017-06,183
광진구,2017-07,194
광진구,2017-08,191
광진구,2017-09,184
광진구,2017-10,175
광진구,2017-11,162
광진구,2017-12,177
광진구,2017-계,"2,347"
광진구,2018-01,206
광진구,2018-02,195
광진구,2018-03,198
광진구,2018-04,176
광진구,2018-05,186
광진구,2018-06,182
광진구,2018-07,212
광진구,2018-08,175
광진구,2018-09,187
광진구,2018-10,163
광진구,2018-11,171
광진구,2018-12,146
광진구,2018-계,"2,197"
광진구,2019-01,196
광진구,2019-02,209
광진구,2019-03,158
광진구,2019-04,161
광진구,2019-05,156
광진구,2019-06,148
광진구,2019-07,161
광진구,2019-08,165
광진구,2019-09,169
광진구,2019-10,160
광진구,2019-11,155
광진구,2019-12,119
광진구,2019-계,"1,957"
광진구,2020-01,139
광진구,2020-02,119
광진구,2020-03,148
광진구,2020-04,134
광진구,2020-05,121
광진구,2020-06,122
광진구,2020-07,135
광진구,2020-08,140
광진구,2020-09,128
광진구,2020-10,115
광진구,2020-11,121
광진구,2020-12,110
광진구,2020-계,"1,532"
광진구,2021-01,122
광진구,2021-02,109
광진구,2021-03,151
광진구,2021-04,145
광진구,2021-05,126
광진구,2021-06,144
광진구,2021-07,135
광진구,2021-08,131
광진구,2021-09,116
광진구,2021-10,121
광진구,2021-11,111
광진구,2021-12,99
광진구,2021-계,1510
구로구,2017-01,322
구로구,2017-02,266
구로구,2017-03,287
구로구,2017-04,281
구로구,2017-05,270
구로구,2017-06,248
구로구,2017-07,226
구로구,2017-08,251
구로구,2017-09,262
구로구,2017-10,256
구로구,2017-11,254
구로구,2017-12,216
구로구,2017-계,"3,139"
구로구,2018-01,280
구로구,2018-02,200
구로구,2018-03,243
구로구,2018-04,199
구로구,2018-05,225
구로구,2018-06,223
구로구,2018-07,241
구로구,2018-08,222
구로구,2018-09,222
구로구,2018-10,217
구로구,2018-11,215
구로구,2018-12,171
구로구,2018-계,"2,658"
구로구,2019-01,234
구로구,2019-02,198
구로구,2019-03,219
구로구,2019-04,188
구로구,2019-05,231
구로구,2019-06,190
구로구,2019-07,206
구로구,2019-08,180
구로구,2019-09,224
구로구,2019-10,205
구로구,2019-11,191
구로구,2019-12,194
구로구,2019-계,"2,460"
구로구,2020-01,234
구로구,2020-02,179
구로구,2020-03,205
구로구,2020-04,160
구로구,2020-05,174
구로구,2020-06,200
구로구,2020-07,215
구로구,2020-08,171
구로구,2020-09,194
구로구,2020-10,209
구로구,2020-11,159
구로구,2020-12,169
구로구,2020-계,"2,269"
구로구,2021-01,185
구로구,2021-02,166
구로구,2021-03,212
구로구,2021-04,194
구로구,2021-05,187
구로구,2021-06,203
구로구,2021-07,184
구로구,2021-08,208
구로구,2021-09,174
구로구,2021-10,181
구로구,2021-11,179
구로구,2021-12,166
구로구,2021-계,2239
금천구,2017-01,131
금천구,2017-02,118
금천구,2017-03,148
금천구,2017-04,105
금천구,2017-05,121
금천구,2017-06,107
금천구,2017-07,128
금천구,2017-08,133
금천구,2017-09,133
금천구,2017-10,142
금천구,2017-11,121
금천구,2017-12,111
금천구,2017-계,"1,498"
금천구,2018-01,134
금천구,2018-02,123
금천구,2018-03,118
금천구,2018-04,91
금천구,2018-05,115
금천구,2018-06,110
금천구,2018-07,98
금천구,2018-08,130
금천구,2018-09,96
금천구,2018-10,101
금천구,2018-11,125
금천구,2018-12,73
금천구,2018-계,"1,314"
금천구,2019-01,130
금천구,2019-02,102
금천구,2019-03,108
금천구,2019-04,95
금천구,2019-05,91
금천구,2019-06,86
금천구,2019-07,95
금천구,2019-08,97
금천구,2019-09,88
금천구,2019-10,93
금천구,2019-11,90
금천구,2019-12,79
금천구,2019-계,"1,154"
금천구,2020-01,117
금천구,2020-02,87
금천구,2020-03,74
금천구,2020-04,99
금천구,2020-05,68
금천구,2020-06,85
금천구,2020-07,104
금천구,2020-08,102
금천구,2020-09,104
금천구,2020-10,92
금천구,2020-11,88
금천구,2020-12,72
금천구,2020-계,"1,092"
금천구,2021-01,93
금천구,2021-02,82
금천구,2021-03,93
금천구,2021-04,83
금천구,2021-05,73
금천구,2021-06,109
금천구,2021-07,87
금천구,2021-08,90
금천구,2021-09,86
금천구,2021-10,67
금천구,2021-11,76
금천구,2021-12,85
금천구,2021-계,1024
노원구,2017-01,358
노원구,2017-02,289
노원구,2017-03,316
노원구,2017-04,258
노원구,2017-05,281
노원구,2017-06,300
노원구,2017-07,283
노원구,2017-08,312
노원구,2017-09,304
노원구,2017-10,288
노원구,2017-11,254
노원구,2017-12,251
노원구,2017-계,"3,494"
노원구,2018-01,298
노원구,2018-02,267
노원구,2018-03,255
노원구,2018-04,248
노원구,2018-05,230
노원구,2018-06,212
노원구,2018-07,242
노원구,2018-08,225
노원구,2018-09,201
노원구,2018-10,256
노원구,2018-11,214
노원구,2018-12,203
노원구,2018-계,"2,851"
노원구,2019-01,256
